,loss,accuracy,val_loss,val_accuracy
0,0.18991398811340332,0.9905555844306946,0.1922544538974762,0.9912499785423279
1,0.18628257513046265,0.991527795791626,0.19416922330856323,0.9904166460037231
2,0.18503735959529877,0.9920555353164673,0.19333696365356445,0.9908333420753479
3,0.1841505914926529,0.9919999837875366,0.19507724046707153,0.9895833134651184
4,0.18276403844356537,0.992111086845398,0.19433961808681488,0.9908333420753479
5,0.18215692043304443,0.992555558681488,0.19412176311016083,0.9904166460037231
6,0.1813596934080124,0.992805540561676,0.19502507150173187,0.9891666769981384
7,0.18247050046920776,0.992388904094696,0.19319339096546173,0.9904166460037231
8,0.1813710331916809,0.9926944375038147,0.19352708756923676,0.9900000095367432
9,0.17941027879714966,0.9931666851043701,0.1943269819021225,0.9891666769981384
10,0.17971789836883545,0.9926944375038147,0.19232720136642456,0.9900000095367432
11,0.17702703177928925,0.9936388731002808,0.19417978823184967,0.9895833134651184
12,0.1793202906847,0.992805540561676,0.19308140873908997,0.9900000095367432
13,0.17788803577423096,0.9933055639266968,0.1927497535943985,0.9900000095367432
14,0.17749103903770447,0.9932222366333008,0.19456984102725983,0.9900000095367432
15,0.17716360092163086,0.9930555820465088,0.19338907301425934,0.9904166460037231
16,0.17646071314811707,0.9938055276870728,0.1922169178724289,0.9908333420753479
17,0.1752188801765442,0.9941388964653015,0.192055344581604,0.9900000095367432
18,0.17477263510227203,0.9939444661140442,0.19253145158290863,0.9900000095367432
19,0.1736430823802948,0.9941111207008362,0.19312000274658203,0.9904166460037231
