,loss,accuracy,val_loss,val_accuracy
0,1.097445011138916,0.5061666369438171,0.9980924725532532,0.4854166805744171
1,0.9852377772331238,0.5494999885559082,0.9994552731513977,0.5379166603088379
2,0.7914999723434448,0.7527499794960022,1.4678767919540405,0.7358333468437195
3,0.43316397070884705,0.9515833258628845,0.4075433313846588,0.9637500047683716
4,0.37536776065826416,0.9691666960716248,0.35919421911239624,0.9791666865348816
5,0.35776522755622864,0.9738333225250244,0.3353906273841858,0.9825000166893005
6,0.3476877510547638,0.9750833511352539,0.3273802101612091,0.9791666865348816
7,0.3304364085197449,0.9783333539962769,0.3198513686656952,0.9820833206176758
8,0.3322793245315552,0.9778333306312561,0.31234997510910034,0.98458331823349
9,0.3165508806705475,0.9804166555404663,0.32324638962745667,0.9791666865348816
10,0.311218798160553,0.9810000061988831,0.299139142036438,0.9854166507720947
11,0.30354100465774536,0.9804166555404663,0.28707870841026306,0.9862499833106995
12,0.2960154414176941,0.9824166893959045,0.2783530056476593,0.9879166483879089
13,0.287240207195282,0.9830833077430725,0.2714282274246216,0.9858333468437195
14,0.28111356496810913,0.984000027179718,0.27185481786727905,0.9870833158493042
15,0.2811877727508545,0.984250009059906,0.2621334195137024,0.9891666769981384
16,0.2751372158527374,0.9835000038146973,0.26190224289894104,0.9870833158493042
17,0.26587432622909546,0.9838333129882812,0.2598578929901123,0.9829166531562805
18,0.2572658956050873,0.9857500195503235,0.24433165788650513,0.9883333444595337
19,0.2522662878036499,0.9848333597183228,0.241688534617424,0.9862499833106995
20,0.24822643399238586,0.984749972820282,0.26306504011154175,0.9783333539962769
21,0.24466219544410706,0.98458331823349,0.24286198616027832,0.98458331823349
22,0.23470664024353027,0.9863333106040955,0.22641386091709137,0.9887499809265137
23,0.23249898850917816,0.9850833415985107,0.2599697709083557,0.9737499952316284
24,0.22532078623771667,0.9861666560173035,0.21575647592544556,0.9879166483879089
25,0.22152185440063477,0.9855833053588867,0.22343480587005615,0.9854166507720947
26,0.2148929387331009,0.9862499833106995,0.24156610667705536,0.9754166603088379
27,0.2066287398338318,0.9868333339691162,0.2052658647298813,0.9850000143051147
28,0.2056984007358551,0.9864166378974915,0.2044203281402588,0.9858333468437195
29,0.19802264869213104,0.9869166612625122,0.2016838639974594,0.9854166507720947
30,0.19500160217285156,0.9872499704360962,0.204452782869339,0.9829166531562805
31,0.19258230924606323,0.9865833520889282,0.18581944704055786,0.9879166483879089
32,0.19479820132255554,0.9854166507720947,0.1918858140707016,0.9854166507720947
33,0.18297427892684937,0.9867500066757202,0.18249133229255676,0.9858333468437195
34,0.179225355386734,0.9866666793823242,0.1784970760345459,0.98458331823349
35,0.17384234070777893,0.9879999756813049,0.18546545505523682,0.9833333492279053
36,0.1724545955657959,0.9869166612625122,0.16689468920230865,0.9866666793823242
37,0.16825099289417267,0.9869999885559082,0.17549127340316772,0.9854166507720947
38,0.16559651494026184,0.987666666507721,0.19340039789676666,0.9754166603088379
39,0.16121943295001984,0.9882500171661377,0.15551131963729858,0.9879166483879089
40,0.15751589834690094,0.987416684627533,0.16267122328281403,0.9837499856948853
41,0.15207968652248383,0.987416684627533,0.16179391741752625,0.98416668176651
42,0.15098313987255096,0.9878333210945129,0.14741846919059753,0.9862499833106995
43,0.1435682624578476,0.9881666898727417,0.15811258554458618,0.9837499856948853
44,0.14370597898960114,0.9865000247955322,0.19832326471805573,0.9683333039283752
45,0.137627974152565,0.9884999990463257,0.14892888069152832,0.9866666793823242
46,0.1397189199924469,0.9866666793823242,0.1401975303888321,0.9837499856948853
47,0.13628754019737244,0.9870833158493042,0.1351756602525711,0.9858333468437195
48,0.1319839209318161,0.9868333339691162,0.13096514344215393,0.9883333444595337
49,0.12876588106155396,0.9869999885559082,0.14800162613391876,0.9833333492279053
50,0.12678365409374237,0.9877499938011169,0.12341105192899704,0.9879166483879089
51,0.11961697041988373,0.9889166951179504,0.13244089484214783,0.9850000143051147
52,0.12314329296350479,0.987500011920929,0.14676907658576965,0.9804166555404663
53,0.12162065505981445,0.9866666793823242,0.13201206922531128,0.9820833206176758
54,0.1157817393541336,0.987583339214325,0.11897560209035873,0.9850000143051147
55,0.11506881564855576,0.9871666431427002,0.1243797168135643,0.9829166531562805
56,0.1119961366057396,0.987583339214325,0.11805431544780731,0.98458331823349
57,0.10900141298770905,0.9883333444595337,0.12191435694694519,0.98458331823349
58,0.1063949391245842,0.9883333444595337,0.11424559354782104,0.9887499809265137
59,0.10363074392080307,0.9890833497047424,0.12310098111629486,0.98458331823349
60,0.100144162774086,0.9894999861717224,0.11697862297296524,0.9858333468437195
61,0.10559222102165222,0.9864166378974915,0.11452200263738632,0.9729166626930237
62,0.10133600980043411,0.9883333444595337,0.13955339789390564,0.9662500023841858
