,loss,accuracy,val_loss,val_accuracy
0,1.069948673248291,0.7972456812858582,0.6478999853134155,0.8995652198791504
1,0.4616743326187134,0.9472087025642395,0.5541536808013916,0.907315194606781
2,0.35693642497062683,0.960223913192749,0.37531009316444397,0.9477173686027527
3,0.28931596875190735,0.9660630226135254,0.31120339035987854,0.9543260931968689
4,0.24298924207687378,0.9698717594146729,0.22763383388519287,0.9717391133308411
5,0.21213094890117645,0.9721173644065857,0.21013988554477692,0.9704999923706055
6,0.18957728147506714,0.9740695357322693,0.28502705693244934,0.9451521635055542
7,0.17439213395118713,0.9752869606018066,0.18104055523872375,0.9732717275619507
8,0.16197744011878967,0.976710855960846,0.19256727397441864,0.9687826037406921
9,0.15223456919193268,0.9777348041534424,0.17677044868469238,0.9713043570518494
10,0.14542950689792633,0.9782043695449829,0.14874398708343506,0.9784456491470337
11,0.1382262110710144,0.9792065024375916,0.13866090774536133,0.9801304340362549
12,0.13316276669502258,0.9792978167533875,0.19527634978294373,0.9634565114974976
13,0.12893106043338776,0.9799087047576904,0.24709880352020264,0.947239100933075
14,0.1252443939447403,0.9802108407020569,0.13600018620491028,0.9787608981132507
15,0.12178030610084534,0.9805912971496582,0.18161992728710175,0.9666630625724792
16,0.11943129450082779,0.9809630513191223,0.1812078207731247,0.9654456377029419
17,0.11576362699270248,0.9813413023948669,0.15346696972846985,0.972815215587616
18,0.1139906570315361,0.981589138507843,0.13742849230766296,0.9775760769844055
19,0.11143851280212402,0.9820369482040405,0.1766066998243332,0.9663478136062622
20,0.10983625054359436,0.9820021986961365,0.12713754177093506,0.9792391061782837
21,0.10823360830545425,0.9819934964179993,0.17409807443618774,0.9653260707855225
22,0.1063074991106987,0.9822695851325989,0.3588906228542328,0.9104565382003784
23,0.10458728671073914,0.9826869368553162,0.12029656022787094,0.9814782738685608
24,0.10276061296463013,0.982802152633667,0.12418672442436218,0.9803261160850525
25,0.10166878998279572,0.9829565286636353,0.1395024210214615,0.9750760793685913
26,0.10049222409725189,0.9829630255699158,0.1185498759150505,0.9816086888313293
27,0.0991189256310463,0.9830891489982605,0.27787473797798157,0.9378478527069092
28,0.09789364039897919,0.9833391308784485,0.12237431108951569,0.9803587198257446
29,0.096865214407444,0.9834108948707581,0.16038082540035248,0.9702174067497253
30,0.09586542844772339,0.9835217595100403,0.12466656416654587,0.9799239039421082
31,0.09495887160301208,0.9836239218711853,0.13990482687950134,0.9749347567558289
32,0.09401781111955643,0.983604371547699,2.4020578861236572,0.39061957597732544
33,0.09303244948387146,0.9838261008262634,0.13753554224967957,0.97661954164505
34,0.09165558218955994,0.9841543436050415,0.1626540869474411,0.9693586826324463
35,0.09129343926906586,0.9840413331985474,0.15883615612983704,0.9697825908660889
36,0.09025943279266357,0.9841086864471436,0.3146069049835205,0.9262391328811646
37,0.08928030729293823,0.9842478036880493,0.1301894187927246,0.9787391424179077
38,0.08811372518539429,0.9843847751617432,0.13318905234336853,0.9775652289390564
39,0.08807123452425003,0.9842434525489807,0.24403558671474457,0.9465000033378601
