,loss,accuracy,val_loss,val_accuracy
0,0.07394295185804367,0.9828878045082092,0.1903141289949417,0.9680923223495483
1,0.06498314440250397,0.9847744703292847,0.1923382431268692,0.9683538675308228
2,0.061056312173604965,0.985759973526001,0.19401654601097107,0.9681077003479004
3,0.05837872996926308,0.9863866567611694,0.1948481649160385,0.9681692123413086
4,0.05633679777383804,0.9870411157608032,0.19782841205596924,0.9682769179344177
5,0.054883480072021484,0.9872244596481323,0.19703666865825653,0.9684000015258789
6,0.052996184676885605,0.9876489043235779,0.20027588307857513,0.9679538607597351
7,0.05160976201295853,0.9880044460296631,0.20188672840595245,0.9678922891616821
8,0.050608038902282715,0.9883355498313904,0.20230233669281006,0.9679384827613831
9,0.04954104870557785,0.988581120967865,0.2039094865322113,0.9680307507514954
10,0.04855211451649666,0.9888088703155518,0.20512212812900543,0.9681077003479004
11,0.047637369483709335,0.988955557346344,0.20703773200511932,0.9673538208007812
12,0.04711735621094704,0.989080011844635,0.20783878862857819,0.9675077199935913
13,0.0459403470158577,0.9894499778747559,0.2087203860282898,0.9675999879837036
14,0.045351311564445496,0.989567756652832,0.2105521410703659,0.9675077199935913
15,0.04449202120304108,0.9898533225059509,0.21242207288742065,0.9676769375801086
16,0.04393690079450607,0.9899322390556335,0.21214379370212555,0.9673538208007812
17,0.043023113161325455,0.9903244376182556,0.21433444321155548,0.9671538472175598
18,0.0425027534365654,0.9903433322906494,0.21519644558429718,0.9669692516326904
19,0.04142690449953079,0.9906522035598755,0.2162017673254013,0.9670768976211548
